NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
196,11/10/1999,67,01,42,77,75,04
197,13/10/1999,80,21,61,45,73,55
198,16/10/1999,71,30,34,24,37,06
199,20/10/1999,45,47,54,70,03,35
200,23/10/1999,67,22,58,60,26,88
201,27/10/1999,73,46,81,57,79,24
202,30/10/1999,34,06,72,76,82,25
203,08/11/1999,70,21,[29],90,39,16
204,09/11/1999,67,42,10,19,24,29
205,12/11/1999,[57],40,59,25,76,82
206,13/11/1999,06,77,27,80,50,57
207,17/11/1999,82,03,83,23,61,88
208,20/11/1999,06,80,78,51,[81],73
209,24/11/1999,76,20,62,45,31,81
210,27/11/1999,24,48,12,58,53,16
211,05/12/1999,20,88,14,85,79,[57]
212,06/12/1999,10,37,07,86,03,[57]
213,15/12/1999,79,84,74,32,[35],57
214,18/12/1999,41,21,28,18,85,35
215,22/12/1999,57,82,61,42,13,63
216,27/12/1999,06,47,59,60,09,32
217,29/12/1999,63,79,[20],75,71,21
218,03/01/2000,[70],15,[88],14,42,20
219,04/01/2000,82,27,37,32,[88],70
220,07/01/2000,09,60,03,58,30,88
221,15/01/2000,39,19,76,62,43,48
222,19/01/2000,59,11,22,50,21,63
223,22/01/2000,39,71,57,29,54,20
224,26/01/2000,21,60,15,90,55,70
225,29/01/2000,57,62,[73],87,02,63
226,02/02/2000,55,70,68,80,65,73
227,08/02/2000,63,13,47,12,28,30
228,09/02/2000,65,59,04,78,56,39
229,11/02/2000,28,57,89,44,64,49
230,12/02/2000,78,55,85,81,76,02
231,16/02/2000,20,18,11,06,17,59
232,19/02/2000,39,90,[54],[51],27,08
233,23/02/2000,28,37,25,81,51,54
234,26/02/2000,65,86,61,53,89,44
235,01/03/2000,57,[48],35,69,04,90
236,05/03/2000,55,38,[62],17,51,48
237,06/03/2000,37,13,01,71,53,62
238,15/03/2000,[17],31,43,33,66,06
239,18/03/2000,35,78,[08],61,89,17
240,22/03/2000,58,85,87,76,81,08
241,25/03/2000,89,57,19,22,02,65
242,29/03/2000,51,47,27,63,15,62
243,03/04/2000,57,01,12,70,26,06
244,10/04/2000,33,29,07,88,40,19
245,11/04/2000,02,24,03,67,16,15
246,15/04/2000,19,62,21,[53],50,28
247,19/04/2000,02,86,47,27,33,[53]
248,22/04/2000,88,05,64,77,74,53
249,26/04/2000,24,85,39,[82],35,48
250,29/04/2000,51,17,70,67,86,82
251,01/05/2000,68,45,42,08,59,88
252,02/05/2000,82,13,38,31,37,02
253,04/05/2000,48,87,52,64,86,[17]
254,07/05/2000,38,67,71,10,33,17
255,08/05/2000,88,35,34,50,12,63
256,13/05/2000,23,83,80,78,36,56
257,17/05/2000,59,62,79,40,[32],38
258,20/05/2000,78,89,11,14,[19],[32]
259,24/05/2000,42,77,41,67,32,19
260,27/05/2000,10,72,22,90,08,87
261,31/05/2000,67,50,53,[39],03,25
262,05/06/2000,08,04,70,63,19,39
263,09/06/2000,34,26,66,85,23,56
264,12/06/2000,72,11,49,64,[48],07
265,14/06/2000,77,75,16,09,70,48
266,17/06/2000,64,80,89,15,25,50
267,21/06/2000,32,29,71,35,69,49
268,24/06/2000,15,43,55,12,34,75
269,28/06/2000,77,53,28,01,52,[63]
270,06/07/2000,89,41,17,03,18,63
271,10/07/2000,53,23,02,59,38,04
272,15/07/2000,21,08,65,39,10,16
273,19/07/2000,24,51,05,74,55,18
274,22/07/2000,37,06,72,60,[66],53
275,26/07/2000,54,13,81,42,10,66
276,29/07/2000,37,53,03,40,83,49
277,01/08/2000,29,56,57,76,31,79
278,03/08/2000,06,75,71,86,47,[15]
279,04/08/2000,13,04,41,32,20,15
280,07/08/2000,47,03,26,12,87,54
281,11/08/2000,04,41,76,08,80,06
282,16/08/2000,[83],53,50,22,78,42
283,19/08/2000,14,82,21,27,49,83
284,23/08/2000,87,55,05,35,30,32
285,26/08/2000,41,[76],13,20,89,11
286,30/08/2000,85,19,15,04,14,76
287,02/09/2000,08,16,59,90,61,78
288,08/09/2000,76,51,[36],52,06,49
289,09/09/2000,80,47,62,18,75,36
290,12/09/2000,06,10,72,03,43,26
291,13/09/2000,62,82,88,77,39,55
292,16/09/2000,70,48,45,01,69,89
293,20/09/2000,08,17,86,09,37,[49]
294,23/09/2000,14,[12],29,82,62,49
295,27/09/2000,88,73,56,[85],51,12
296,30/09/2000,48,05,84,87,71,85
297,05/10/2000,55,68,52,25,35,60
298,06/10/2000,82,19,39,86,09,12
299,14/10/2000,56,[37],79,58,03,16
300,18/10/2000,85,81,63,24,35,37
301,21/10/2000,56,52,41,15,33,48
302,25/10/2000,75,10,01,40,23,68
303,28/10/2000,41,02,61,38,76,39
304,03/11/2000,80,89,21,43,06,29
305,10/11/2000,56,28,46,87,42,74
306,11/11/2000,73,54,11,77,70,64
307,15/11/2000,71,45,09,27,66,68
308,18/11/2000,01,53,79,25,26,28
309,22/11/2000,42,49,85,03,21,64
310,25/11/2000,25,89,[14],50,72,39
311,29/11/2000,[49],03,65,81,52,14
312,01/12/2000,29,32,13,35,17,49
313,02/12/2000,03,[81],74,15,76,48
314,04/12/2000,67,82,04,33,71,81
315,07/12/2000,45,24,80,18,58,62
316,08/12/2000,49,43,11,16,84,15
317,13/12/2000,74,52,19,68,70,09
318,16/12/2000,84,66,63,54,08,62
319,20/12/2000,76,23,[36],55,79,33
320,23/12/2000,43,90,26,47,64,36
321,27/12/2000,33,68,85,59,11,84
322,30/12/2000,14,[01],39,05,20,58
323,08/01/2001,33,70,08,26,47,01
324,09/01/2001,39,05,43,63,53,82
325,12/01/2001,11,[55],10,45,46,16
326,13/01/2001,58,48,32,[50],86,55
327,17/01/2001,81,57,44,83,90,50
328,20/01/2001,53,35,41,22,62,16
329,24/01/2001,[90],[42],28,25,14,82
330,27/01/2001,65,29,80,56,42,90
331,31/01/2001,83,02,06,20,18,49
332,05/02/2001,65,86,[70],77,46,28
333,14/02/2001,02,82,45,75,59,70
334,17/02/2001,86,22,62,15,38,83
335,21/02/2001,37,40,17,30,09,[46]
336,24/02/2001,62,28,56,55,06,46
337,28/02/2001,75,25,78,26,79,80
338,01/03/2001,86,83,77,43,[33],59
339,02/03/2001,25,26,41,15,62,33
340,03/03/2001,89,39,08,47,[13],02
341,10/03/2001,40,18,05,51,56,13
342,11/03/2001,86,49,42,14,45,71
343,14/03/2001,30,07,[66],24,59,89
344,17/03/2001,28,35,36,70,62,66
345,21/03/2001,19,73,46,85,08,49
346,24/03/2001,39,43,65,81,61,56
347,28/03/2001,08,24,80,84,02,36
348,31/03/2001,39,88,64,11,63,74
349,04/04/2001,12,32,17,50,58,14
350,06/04/2001,63,57,[48],23,89,02
351,07/04/2001,36,77,82,70,88,48
352,08/04/2001,81,61,13,40,29,73
353,14/04/2001,49,22,05,66,65,63
354,18/04/2001,64,74,11,[10],88,82
355,21/04/2001,32,54,41,26,42,10
356,26/04/2001,02,31,71,07,38,12
357,28/04/2001,22,58,86,27,45,04
358,05/05/2001,02,14,43,44,55,32
359,09/05/2001,22,26,67,09,89,71
360,12/05/2001,43,74,[79],53,08,69
361,16/05/2001,63,47,48,32,14,79
362,19/05/2001,15,13,73,65,18,49
363,23/05/2001,52,68,06,81,80,36
364,26/05/2001,08,55,39,56,57,63
365,30/05/2001,26,[45],37,05,64,43
366,06/06/2001,[18],[44],11,83,42,45
367,10/06/2001,48,07,51,63,44,18
368,13/06/2001,11,88,03,85,50,43
369,16/06/2001,87,61,70,84,58,78
370,20/06/2001,19,12,60,21,81,07
371,23/06/2001,64,25,54,32,[34],83
372,27/06/2001,22,[77],15,04,87,34
373,30/06/2001,32,16,20,27,[31],77
374,02/07/2001,22,88,45,68,84,31
375,03/07/2001,63,23,56,[71],89,04
376,04/07/2001,45,34,65,[40],32,71
377,07/07/2001,63,61,05,12,88,40
378,11/07/2001,82,53,50,[10],86,78
379,14/07/2001,40,23,08,46,35,10
380,18/07/2001,31,01,59,44,64,77
381,21/07/2001,63,04,43,[80],37,22
382,25/07/2001,65,84,03,09,35,80
383,28/07/2001,56,39,90,76,[75],64
384,01/08/2001,31,34,27,47,58,75
385,08/08/2001,61,16,19,69,72,84
386,09/08/2001,27,01,83,14,87,08
387,16/08/2001,67,[73],25,12,49,53
388,18/08/2001,58,74,[07],62,61,73
389,22/08/2001,53,06,54,85,14,07
390,25/08/2001,10,38,57,84,72,12
391,29/08/2001,68,36,09,70,01,27
392,05/09/2001,57,11,86,44,90,05
393,06/09/2001,07,30,47,89,76,83
394,15/09/2001,04,29,59,18,24,41
395,19/09/2001,53,14,56,71,02,38
396,22/09/2001,57,10,55,21,45,30
397,26/09/2001,27,26,28,73,22,72
398,29/09/2001,86,88,62,69,70,14
399,01/10/2001,07,61,03,77,04,55
400,02/10/2001,14,30,35,08,31,76
401,03/10/2001,04,56,49,36,82,41
402,10/10/2001,18,39,74,75,68,61
403,11/10/2001,[72],37,52,66,35,14
404,12/10/2001,70,50,42,01,34,72
405,13/10/2001,40,51,05,19,87,85
406,17/10/2001,70,86,13,45,58,28
407,20/10/2001,49,60,80,84,64,18
408,24/10/2001,31,16,30,47,20,19
409,27/10/2001,85,48,12,23,86,70
410,31/10/2001,58,25,36,32,57,46
411,04/11/2001,05,17,21,63,[11],28
412,07/11/2001,52,81,71,41,89,11
413,08/11/2001,85,23,10,33,07,68
414,14/11/2001,52,25,31,44,49,21
415,17/11/2001,03,04,74,16,36,89
416,21/11/2001,01,88,66,07,10,23
417,24/11/2001,[83],53,65,55,14,87
418,28/11/2001,07,06,62,51,16,[83]
419,05/12/2001,40,[32],35,21,66,83
420,09/12/2001,37,43,42,89,[03],[32]
421,12/12/2001,05,[75],44,10,32,03
422,15/12/2001,78,20,61,04,[14],[75]
423,19/12/2001,83,70,68,01,75,14
424,22/12/2001,84,81,49,25,19,53
425,27/12/2001,68,32,03,[21],48,59
426,29/12/2001,[53],20,80,90,[26],21
427,31/12/2001,68,83,24,49,26,53
428,06/01/2002,54,63,69,41,51,66
429,16/01/2002,[58],85,38,50,90,80
430,19/01/2002,20,[46],35,13,03,58
431,23/01/2002,47,71,15,30,19,46
432,26/01/2002,[41],84,55,12,52,85
433,30/01/2002,33,25,76,51,66,41
434,01/02/2002,03,79,06,34,49,83
435,02/02/2002,33,74,31,39,23,84
436,03/02/2002,68,21,60,[88],[28],71
437,05/02/2002,19,86,45,[26],28,88
438,10/02/2002,[54],36,07,17,15,26
439,11/02/2002,14,87,18,70,63,54
440,13/02/2002,15,01,80,42,22,33
441,16/02/2002,87,14,39,73,53,55
442,20/02/2002,36,06,59,62,37,[61]
443,23/02/2002,70,78,81,66,01,61
444,27/02/2002,59,17,56,69,88,14
445,04/03/2002,87,54,29,[47],[40],33
446,07/03/2002,[37],15,64,81,40,47
447,08/03/2002,66,73,21,34,14,37
448,12/03/2002,52,[26],23,32,75,71
449,13/03/2002,34,11,05,04,36,26
450,16/03/2002,64,40,68,76,90,20
451,20/03/2002,34,05,82,84,50,30
452,23/03/2002,15,42,[45],55,[35],77
453,27/03/2002,29,[38],51,01,35,45
454,30/03/2002,69,03,16,11,[82],38
455,05/04/2002,84,30,73,56,57,82
456,09/04/2002,69,06,60,86,[61],01
457,13/04/2002,10,41,88,53,52,61
458,17/04/2002,76,80,21,18,79,84
459,20/04/2002,[88],35,27,24,43,64
460,24/04/2002,[42],19,[62],[45],51,88
461,27/04/2002,27,74,87,[45],62,42
462,01/05/2002,21,60,37,71,41,45
463,06/05/2002,52,54,77,50,86,76
464,10/05/2002,41,51,89,85,04,43
465,12/05/2002,40,15,44,25,09,71
466,15/05/2002,21,33,17,14,69,31
467,18/05/2002,71,26,35,23,84,34
468,22/05/2002,31,79,28,59,13,58
469,25/05/2002,26,42,27,12,66,89
470,29/05/2002,88,49,46,62,77,40
471,02/06/2002,38,36,72,82,21,[79]
472,03/06/2002,62,[85],53,37,29,79
473,04/06/2002,06,61,32,05,67,85
474,07/06/2002,29,69,19,44,23,89
475,11/06/2002,83,15,03,86,76,28
476,15/06/2002,13,87,59,11,25,61
477,19/06/2002,86,64,71,33,16,08
478,22/06/2002,89,58,30,24,22,[60]
479,26/06/2002,64,16,42,46,37,60
480,29/06/2002,11,88,17,09,81,38
481,08/07/2002,01,04,50,77,66,69
482,09/07/2002,84,[72],07,53,82,08
483,12/07/2002,64,16,90,57,51,72
484,13/07/2002,17,68,23,56,06,55
485,17/07/2002,[71],70,83,63,21,38
486,20/07/2002,17,44,76,20,[57],71
487,24/07/2002,63,19,89,11,84,57
488,27/07/2002,17,44,05,80,88,62
489,31/07/2002,11,49,31,24,40,20
490,05/08/2002,62,68,08,12,36,81
491,06/08/2002,57,67,69,[86],25,55
492,14/08/2002,01,75,[38],83,70,86
493,17/08/2002,25,20,07,59,05,38
494,21/08/2002,88,35,30,[33],87,15
495,24/08/2002,69,23,46,17,44,33
496,28/08/2002,08,26,79,66,38,25
497,31/08/2002,07,49,77,42,01,88
498,01/09/2002,36,21,29,54,45,28
499,02/09/2002,37,61,52,[87],15,30
500,03/09/2002,45,35,85,09,77,87
501,10/09/2002,88,44,57,56,86,[76]
502,11/09/2002,21,22,65,59,[52],76
503,14/09/2002,61,39,83,34,12,52
504,18/09/2002,78,23,20,30,44,88
505,21/09/2002,55,81,11,18,77,85
506,25/09/2002,76,01,16,89,51,10
507,28/09/2002,83,[56],50,54,23,78
508,04/10/2002,70,62,61,34,77,56
509,07/10/2002,57,43,02,79,90,28
510,08/10/2002,75,37,73,19,85,50
511,12/10/2002,48,40,32,29,16,70
512,16/10/2002,76,31,22,63,[78],79
513,19/10/2002,57,27,66,[10],37,78
514,23/10/2002,35,89,21,55,23,10
515,26/10/2002,57,40,43,82,46,77
516,30/10/2002,73,84,88,90,70,27
517,05/11/2002,82,78,36,15,86,13
518,09/11/2002,10,54,62,65,17,51
519,13/11/2002,86,16,83,[89],55,23
520,16/11/2002,73,45,[05],44,53,89
521,20/11/2002,23,47,60,11,58,05
522,23/11/2002,44,51,90,26,63,18
523,27/11/2002,68,80,69,85,42,14
524,30/11/2002,26,10,[56],20,48,16
525,01/12/2002,85,35,34,65,17,56
526,06/12/2002,26,45,75,82,12,84
527,10/12/2002,58,86,37,62,63,51
528,12/12/2002,12,48,[08],01,02,66
529,14/12/2002,86,21,03,46,33,08
530,17/12/2002,36,47,14,69,35,58
531,19/12/2002,86,34,[27],31,30,05
532,21/12/2002,88,18,81,49,59,[27]
533,24/12/2002,65,52,70,82,02,27
534,27/12/2002,81,01,42,83,06,03
535,28/12/2002,33,41,87,73,50,49
536,31/12/2002,14,76,85,75,17,62
537,02/01/2003,31,45,37,[24],71,[81]
538,03/01/2003,14,90,56,40,81,24
539,10/01/2003,27,80,08,72,12,84
540,15/01/2003,81,17,55,66,89,86
541,18/01/2003,84,49,02,[82],46,56
542,22/01/2003,90,62,75,70,50,82
543,25/01/2003,58,51,57,69,89,86
544,29/01/2003,82,41,65,33,37,56
545,01/02/2003,27,11,22,05,36,90
546,04/02/2003,18,34,43,06,80,58
547,07/02/2003,27,40,28,67,63,78
548,08/02/2003,34,09,17,13,16,57
549,15/02/2003,51,[12],45,77,66,41
550,19/02/2003,09,85,03,71,36,[12]
551,22/02/2003,51,90,19,61,62,12
552,26/02/2003,17,82,88,81,[41],45
553,05/03/2003,87,49,01,48,84,41
554,09/03/2003,17,06,02,63,12,19
555,11/03/2003,77,78,47,18,56,45
556,12/03/2003,[81],09,73,80,37,25
557,15/03/2003,29,55,07,20,[71],81
558,19/03/2003,27,23,[75],43,56,71
559,22/03/2003,01,58,46,67,17,75
